hospital_name,city,state,county_name,hospital_overall_rating
BEAUMONT HOSPITAL - WAYNE,WAYNE,Michigan,Wayne,3.0
MONADNOCK COMMUNITY HOSPITAL,PETERBOROUGH,New Hampshire,Hillsborough,3.0
PENOBSCOT VALLEY HOSPITAL,LINCOLN,Maine,Penobscot,4.0
FRANCISCAN ST. MARGARET HEALTH HAMMOND,HAMMOND,Indiana,Lake,3.0
CHESAPEAKE REGIONAL MEDICAL CENTER,CHESAPEAKE,Virginia,Chesapeake city,3.0
COMMUNITY MEMORIAL HOSPITAL,MENOMONEE FALLS,Wisconsin,Waukesha,5.0
IOWA SPECIALTY HOSPITAL - BELMOND,BELMOND,Iowa,Wright,5.0
AVERA GREGORY HOSPITAL,GREGORY,South Dakota,Gregory,4.0
CATAWBA VALLEY MEDICAL CENTER,HICKORY,North Carolina,Catawba,3.0
AVOYELLES HOSPITAL,MARKSVILLE,Louisiana,Avoyelles,3.0
DELAWARE COUNTY MEMORIAL HOSPITAL,DREXEL HILL,Pennsylvania,Delaware,2.0
BEAUFORT COUNTY MEMORIAL HOSPITAL,BEAUFORT,South Carolina,Beaufort,3.0
WEST ANAHEIM MEDICAL CENTER,ANAHEIM,California,Orange,3.0
LEWISGALE HOSPITAL MONTGOMERY,BLACKSBURG,Virginia,Montgomery,3.0
UNION HOSPITAL CLINTON,CLINTON,Indiana,Vermillion,3.0
SOUTH GEORGIA MEDICAL CENTER,VALDOSTA,Georgia,Lowndes,4.0
SAN ANTONIO REGIONAL HOSPITAL,UPLAND,California,San bernardino,2.0
OLATHE MEDICAL CENTER,OLATHE,Kansas,Johnson,2.0
CHARLES A CANNON JR MEMORIAL HOSPITAL,LINVILLE,North Carolina,Avery,3.0
NIAGARA FALLS MEMORIAL MEDICAL CENTER,NIAGARA FALLS,New York,Niagara,2.0
PARRISH MEDICAL CENTER,TITUSVILLE,Florida,Brevard,1.0
MUSC HEALTH FLORENCE MEDICAL CENTER,FLORENCE,South Carolina,Florence,3.0
ED FRASER MEMORIAL HOSPITAL,MACCLENNY,Florida,Baker,3.0
TRISTAR HORIZON MEDICAL CENTER,DICKSON,Tennessee,Dickson,3.0
"MERCY HOSPITAL OKLAHOMA CITY, INC",OKLAHOMA CITY,Oklahoma,Oklahoma,3.0
KAISER FOUNDATION HOSPITAL-SANTA CLARA,SANTA CLARA,California,Santa clara,4.0
MARK TWAIN MEDICAL CENTER,SAN ANDREAS,California,Calaveras,3.0
ST LUKE'S MINERS MEMORIAL HOSPITAL,COALDALE,Pennsylvania,Schuylkill,4.0
MEDICAL CENTER OF SOUTH ARKANSAS,EL DORADO,Arkansas,Union,3.0
MERCY HOSPITAL,COON RAPIDS,Minnesota,Anoka,4.0
NEW HANOVER REGIONAL MEDICAL CENTER,WILMINGTON,North Carolina,New hanover,3.0
TAYLOR REGIONAL HOSPITAL,CAMPBELLSVILLE,Kentucky,Taylor,4.0
LEHIGH REGIONAL MEDICAL CENTER,LEHIGH ACRES,Florida,Lee,3.0
MITCHELL COUNTY HOSPITAL HEALTH SYSTEMS,BELOIT,Kansas,Mitchell,5.0
MEMORIAL HOSPITAL,FREMONT,Ohio,Sandusky,3.0
BON SECOURS MARYVIEW MEDICAL CENTER,PORTSMOUTH,Virginia,Portsmouth city,1.0
GATEWAY REGIONAL MEDICAL CENTER,GRANITE CITY,Illinois,Madison,1.0
ASANTE ROGUE REGIONAL MEDICAL CENTER,MEDFORD,Oregon,Jackson,5.0
BILLINGS CLINIC,BILLINGS,Montana,Yellowstone,4.0
MADERA COMMUNITY HOSPITAL,MADERA,California,Madera,1.0
COFFEY COUNTY HOSPITAL,BURLINGTON,Kansas,Coffey,4.0
OLMSTED MEDICAL CENTER,ROCHESTER,Minnesota,Olmsted,5.0
CANONSBURG GENERAL HOSPITAL,CANONSBURG,Pennsylvania,Washington,4.0
EAST GEORGIA REGIONAL MEDICAL CENTER,STATESBORO,Georgia,Bulloch,2.0
CAPITAL REGIONAL MEDICAL CENTER,TALLAHASSEE,Florida,Leon,2.0
TOURO INFIRMARY,NEW ORLEANS,Louisiana,Orleans,3.0
SANTA BARBARA COTTAGE HOSPITAL,SANTA BARBARA,California,Santa barbara,5.0
LANGLADE HOSPITAL,ANTIGO,Wisconsin,Langlade,4.0
ST MARYS REGIONAL MEDICAL CENTER,RUSSELLVILLE,Arkansas,Pope,3.0
BLAKE MEDICAL CENTER,BRADENTON,Florida,Manatee,1.0
SOUTHEAST ALABAMA MEDICAL CENTER,DOTHAN,Alabama,Houston,2.0
BRANDYWINE HOSPITAL,COATESVILLE,Pennsylvania,Chester,2.0
MEMORIAL HEALTHCARE,OWOSSO,Michigan,Shiawassee,4.0
ASCENSION SETON EDGAR B DAVIS,LULING,Texas,Caldwell,4.0
SHARON HOSPITAL,SHARON,Connecticut,Litchfield,5.0
UH ST JOHN MEDICAL CENTER,WESTLAKE,Ohio,Cuyahoga,4.0
WHIDBEYHEALTH MEDICAL CENTER,COUPEVILLE,Washington,Island,3.0
BON SECOURS ST MARYS HOSPITAL,RICHMOND,Virginia,Richmond city,3.0
VISTA MEDICAL CENTER EAST,WAUKEGAN,Illinois,Lake,2.0
WHEATON FRANCISCAN HEALTHCARE ALL SAINTS,RACINE,Wisconsin,Racine,1.0
CAMERON MEMORIAL COMMUNITY HOSPITAL INC,ANGOLA,Indiana,Steuben,3.0
ST MARY MERCY HOSPITAL,LIVONIA,Michigan,Wayne,4.0
"INDIANA UNIVERSITY HEALTH JAY, INC.",PORTLAND,Indiana,Jay,3.0
TWIN COUNTY REGIONAL HOSPITAL,GALAX,Virginia,Galax city,2.0
LINCOLN MEDICAL & MENTAL HEALTH CENTER,BRONX,New York,Bronx,1.0
STANFORD HEALTH CARE,STANFORD,California,Santa clara,5.0
SAINT FRANCIS MEDICAL CENTER,LYNWOOD,California,Los angeles,2.0
FAULKNER HOSPITAL-BRIGHAM AND WOMEN'S,BOSTON,Massachusetts,Suffolk,5.0
"BEAUMONT HOSPITAL, TROY",TROY,Michigan,Oakland,5.0
PALI MOMI MEDICAL CENTER,AIEA,Hawaii,Honolulu,5.0
PENN HIGHLANDS ELK,SAINT MARYS,Pennsylvania,Elk,4.0
ST ELIZABETH YOUNGSTOWN HOSPITAL,YOUNGSTOWN,Ohio,Mahoning,3.0
OVERLAND PARK REG MED CTR,OVERLAND PARK,Kansas,Johnson,2.0
NS/LIJ HS-NORTH SHORE UNIVERSITY HOSPITAL AT MANHASSET,MANHASSET,New York,Nassau,3.0
POMONA VALLEY HOSPITAL MEDICAL CENTER,POMONA,California,Los angeles,3.0
WESTCHESTER GENERAL HOSPITAL,MIAMI,Florida,Miami-dade,2.0
BANNER ESTRELLA MEDICAL CENTER,PHOENIX,Arizona,Maricopa,4.0
NAZARETH HOSPITAL,PHILADELPHIA,Pennsylvania,Philadelphia,2.0
CHINO VALLEY MEDICAL CENTER,CHINO,California,San bernardino,4.0
TYRONE REGIONAL HEALTH NETWORK,TYRONE,Pennsylvania,Blair,4.0
KAISER FOUNDATION HOSPITAL - VACAVILLE,VACAVILLE,California,Solano,4.0
BANNER CHURCHILL COMMUNITY HOSPITAL,FALLON,Nevada,Churchill,3.0
BAYSHORE MEDICAL CENTER,HOLMDEL,New Jersey,Monmouth,2.0
DOCTORS MEMORIAL HOSPITAL,BONIFAY,Florida,Holmes,4.0
BAYSTATE FRANKLIN MEDICAL CENTER,GREENFIELD,Massachusetts,Franklin,3.0
MID COAST HOSPITAL,BRUNSWICK,Maine,Cumberland,3.0
WHEATON FRANCISCAN ST JOSEPH,MILWAUKEE,Wisconsin,Milwaukee,2.0
MASSAC MEMORIAL HOSPITAL,METROPOLIS,Illinois,Massac,3.0
ASCENSION SACRED HEART HOSPITAL,TOMAHAWK,Wisconsin,Lincoln,3.0
MATAGORDA REGIONAL MEDICAL CENTER,BAY CITY,Texas,Matagorda,3.0
LIVINGSTON REGIONAL HOSPITAL,LIVINGSTON,Tennessee,Overton,4.0
PLATTE VALLEY MEDICAL CENTER,BRIGHTON,Colorado,Adams,4.0
ROSELAND COMMUNITY HOSPITAL,CHICAGO,Illinois,Cook,2.0
PIKEVILLE MEDICAL CENTER,PIKEVILLE,Kentucky,Pike,1.0
WASHINGTON REGIONAL MEDICAL CENTER,FAYETTEVILLE,Arkansas,Washington,2.0
MORTON HOSPITAL,TAUNTON,Massachusetts,Bristol,1.0
UNIVERSITY OF MISSISSIPPI MEDICAL CENTER- GRENADA,GRENADA,Mississippi,Grenada,3.0
NORTHRIDGE MEDICAL CENTER,COMMERCE,Georgia,Jackson,3.0
PROVIDENCE SEASIDE HOSPITAL,SEASIDE,Oregon,Clatsop,4.0
LINCOLN MEDICAL CENTER,FAYETTEVILLE,Tennessee,Lincoln,4.0
UNIONTOWN HOSPITAL,UNIONTOWN,Pennsylvania,Fayette,2.0
FRANCISCAN HEALTH INDIANAPOLIS,INDIANAPOLIS,Indiana,Marion,3.0
ST JOHN'S RIVERSIDE HOSPITAL,YONKERS,New York,Westchester,3.0
HOUSTON METHODIST WEST HOSPITAL,HOUSTON,Texas,Harris,4.0
SPECTRUM HEALTH REED CITY HOSPITAL,REED CITY,Michigan,Osceola,4.0
YORK GENERAL HOSPITAL,YORK,Nebraska,York,3.0
EUCLID HOSPITAL,EUCLID,Ohio,Cuyahoga,4.0
DAVIE MEDICAL CENTER,MOCKSVILLE,North Carolina,Davie,5.0
WILSON MEMORIAL HOSPITAL,SIDNEY,Ohio,Shelby,3.0
MERCYONE CLINTON MEDICAL CENTER,CLINTON,Iowa,Clinton,5.0
HUGH CHATHAM MEMORIAL HOSPITAL,ELKIN,North Carolina,Surry,3.0
PALM BAY HOSPITAL,PALM BAY,Florida,Brevard,4.0
AVERA MARSHALL REGIONAL MEDICAL CTR,MARSHALL,Minnesota,Lyon,4.0
RARITAN BAY MEDICAL CENTER PERTH AMBOY DIVISION,PERTH AMBOY,New Jersey,Middlesex,3.0
UNIVERSITY MEDICAL CENTER OF EL PASO,EL PASO,Texas,El paso,2.0
RICHMOND UNIVERSITY MEDICAL CENTER,STATEN ISLAND,New York,Richmond,1.0
MOUNTAINVIEW HOSPITAL,LAS VEGAS,Nevada,Clark,3.0
RUSH FOUNDATION HOSPITAL,MERIDIAN,Mississippi,Lauderdale,2.0
OSF HOLY FAMILY MEDICAL CENTER,MONMOUTH,Illinois,Warren,4.0
ESSENTIA HEALTH,FARGO,North Dakota,Cass,4.0
TAYLORVILLE MEMORIAL HOSPITAL,TAYLORVILLE,Illinois,Christian,4.0
MERCY GENERAL HOSPITAL,SACRAMENTO,California,Sacramento,3.0
HSHS GOOD SHEPHERD HOSPITAL INC,SHELBYVILLE,Illinois,Shelby,4.0
SAINT ROSE DOMINICAN HOSPITALS - ROSE DE LIMA,HENDERSON,Nevada,Clark,2.0
UVALDE MEMORIAL HOSPITAL,UVALDE,Texas,Uvalde,4.0
BRYN MAWR HOSPITAL,BRYN MAWR,Pennsylvania,Montgomery,4.0
GOOD SAMARITAN MEDICAL CENTER,BROCKTON,Massachusetts,Plymouth,1.0
ALLEGHENY GENERAL HOSPITAL,PITTSBURGH,Pennsylvania,Allegheny,2.0
SAN JUAN REGIONAL MEDICAL CENTER,FARMINGTON,New Mexico,San juan,3.0
BARROW REGIONAL MEDICAL CENTER,WINDER,Georgia,Barrow,3.0
NORTHEAST REGIONAL MEDICAL CENTER,KIRKSVILLE,Missouri,Adair,4.0
"PARKVIEW WABASH HOSPITAL, INC",WABASH,Indiana,Wabash,4.0
LEONARD J CHABERT MEDICAL CENTER,HOUMA,Louisiana,Terrebonne,3.0
GEISINGER-LEWISTOWN HOSPITAL,LEWISTOWN,Pennsylvania,Mifflin,4.0
LADD MEMORIAL HOSPITAL,OSCEOLA,Wisconsin,Polk,4.0
ASTRIA TOPPENISH HOSPITAL,TOPPENISH,Washington,Yakima,4.0
ST. VINCENT'S EAST,BIRMINGHAM,Alabama,Jefferson,2.0
UNIVERSITY OF KANSAS HOSPITAL,KANSAS CITY,Kansas,Wyandotte,4.0
LOS ALAMOS MEDICAL CENTER,LOS ALAMOS,New Mexico,Los alamos,3.0
FLORIDA HOSPITAL CARROLLWOOD,TAMPA,Florida,Hillsborough,4.0
ADVENTIST HEALTH SONORA,SONORA,California,Tuolumne,3.0
EMMA L BIXBY MEDICAL CENTER,ADRIAN,Michigan,Lenawee,4.0
SALINE MEMORIAL HOSPITAL,BENTON,Arkansas,Saline,2.0
A R GOULD HOSPITAL,PRESQUE ISLE,Maine,Aroostook,2.0
CALIFORNIA HOSPITAL MEDICAL CENTER LA,LOS ANGELES,California,Los angeles,3.0
ST JOSEPHS HOSPITAL,TAMPA,Florida,Hillsborough,4.0
SAINT THOMAS RIVER PARK HOSPITAL,MC MINNVILLE,Tennessee,Warren,4.0
EL CAMINO HOSPITAL,MOUNTAIN VIEW,California,Santa clara,5.0
SANFORD USD MEDICAL CENTER,SIOUX FALLS,South Dakota,Minnehaha,4.0
LANE REGIONAL MEDICAL CENTER,ZACHARY,Louisiana,E. baton rouge,3.0
ELLSWORTH COUNTY MEDICAL CENTER,ELLSWORTH,Kansas,Ellsworth,4.0
BAYLOR SCOTT & WHITE MEDICAL CENTER PLANO,PLANO,Texas,Collin,5.0
NASH GENERAL HOSPITAL,ROCKY MOUNT,North Carolina,Nash,1.0
CHI HEALTH ST. FRANCIS,GRAND ISLAND,Nebraska,Hall,2.0
MONROE HOSPITAL,BLOOMINGTON,Indiana,Monroe,4.0
EVANSTON REGIONAL HOSPITAL,EVANSTON,Wyoming,Uinta,4.0
ADVENTIST HEALTH CLEARLAKE,CLEARLAKE,California,Lake,4.0
ORANGE CITY AREA HEALTH SYSTEM,ORANGE CITY,Iowa,Sioux,4.0
TEXAS HEALTH ARLINGTON MEMORIAL HOSPITAL,ARLINGTON,Texas,Tarrant,2.0
LAWRENCE MEMORIAL HOSPITAL,WALNUT RIDGE,Arkansas,Lawrence,3.0
OSF HEART OF MARY MEDICAL CENTER,URBANA,Illinois,Champaign,3.0
MEMORIAL MEDICAL CENTER LIVINGSTON,LIVINGSTON,Texas,Polk,3.0
MEMORIAL HERMANN SUGAR LAND HOSPITAL,SUGAR LAND,Texas,Fort bend,3.0
HIGHLANDS REGIONAL MEDICAL CENTER,SEBRING,Florida,Highlands,2.0
CAROLINAS MEDICAL CENTER/BEHAV HEALTH,CHARLOTTE,North Carolina,Mecklenburg,3.0
HUNT REGIONAL MEDICAL CENTER,GREENVILLE,Texas,Hunt,3.0
DAVIESS COMMUNITY HOSPITAL,WASHINGTON,Indiana,Daviess,4.0
MEDICAL CITY PLANO,PLANO,Texas,Collin,2.0
WILLAMETTE VALLEY MEDICAL CENTER,MCMINNVILLE,Oregon,Yamhill,4.0
ST. VINCENT ANDERSON REGIONAL HOSPITAL,ANDERSON,Indiana,Madison,3.0
DALE MEDICAL CENTER,OZARK,Alabama,Dale,4.0
HUNTERDON MEDICAL CENTER,FLEMINGTON,New Jersey,Hunterdon,4.0
MEDICAL CITY FORT WORTH,FORT WORTH,Texas,Tarrant,3.0
PIEDMONT COLUMBUS REGIONAL MIDTOWN,COLUMBUS,Georgia,Muscogee,1.0
MAYO CLINIC HEALTH SYSTEM EAU CLAIRE HOSPITAL,EAU CLAIRE,Wisconsin,Eau claire,5.0
CRAWFORD MEMORIAL HOSPITAL,ROBINSON,Illinois,Crawford,4.0
GLENS FALLS HOSPITAL,GLENS FALLS,New York,Warren,2.0
TRUMBULL REGIONAL MEDICAL CENTER,WARREN,Ohio,Trumbull,1.0
WAVERLY HEALTH CENTER,WAVERLY,Iowa,Bremer,4.0
GENESIS MEDICAL CENTER-DAVENPORT,DAVENPORT,Iowa,Scott,3.0
METHODIST DALLAS MEDICAL CENTER,DALLAS,Texas,Dallas,3.0
MURPHY MEDICAL CENTER INC,MURPHY,North Carolina,Cherokee,3.0
SAN JOAQUIN GENERAL HOSPITAL,FRENCH CAMP,California,San joaquin,1.0
PICKENS COUNTY MEDICAL CENTER,CARROLLTON,Alabama,Pickens,3.0
MITCHELL COUNTY REGIONAL HEALTH,OSAGE,Iowa,Mitchell,4.0
LOVELACE WESTSIDE HOSPITAL,ALBUQUERQUE,New Mexico,Bernalillo,4.0
OCEAN MEDICAL CENTER,BRICK,New Jersey,Ocean,3.0
HILLCREST HOSPITAL HENRYETTA,HENRYETTA,Oklahoma,Okmulgee,3.0
NORTH TEXAS MEDICAL CENTER,GAINESVILLE,Texas,Cooke,2.0
EMORY JOHNS CREEK HOSPITAL,JOHNS CREEK,Georgia,Gwinnett,4.0
ANDERSON REGIONAL MEDICAL CTR,MERIDIAN,Mississippi,Lauderdale,2.0
NEVADA REGIONAL MEDICAL CENTER,NEVADA,Missouri,Vernon,4.0
"CORPUS CHRISTI MEDICAL CENTER,THE",CORPUS CHRISTI,Texas,Nueces,3.0
METROSOUTH MEDICAL CENTER,BLUE ISLAND,Illinois,Cook,3.0
ST JOHNS PLEASANT VALLEY HOSPITAL,CAMARILLO,California,Ventura,3.0
ALICE PECK DAY MEMORIAL HOSPITAL,LEBANON,New Hampshire,Grafton,4.0
"PORTER HOSPITAL, INC",MIDDLEBURY,Vermont,Addison,4.0
ALAMANCE REGIONAL MEDICAL CENTER,BURLINGTON,North Carolina,Alamance,3.0
GALION COMMUNITY HOSPITAL,GALION,Ohio,Crawford,3.0
HOLY CROSS HOSPITAL A DIV OF TAOS HEALTH SYSTEMS,TAOS,New Mexico,Taos,4.0
UPMC PASSAVANT,PITTSBURGH,Pennsylvania,Allegheny,5.0
SOUTHWEST HEALTHCARE SYSTEM,MURRIETA,California,Riverside,2.0
ADAMS COUNTY REGIONAL MEDICAL CENTER,SEAMAN,Ohio,Adams,2.0
SOVAH HEALTH DANVILLE,DANVILLE,Virginia,Danville city,2.0
COLUMBUS REGIONAL HEALTHCARE SYSTEM,WHITEVILLE,North Carolina,Columbus,2.0
BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,TUCSON,Arizona,Pima,3.0
NOVANT PRINCE WILLIAM MEDICAL CENTER,MANASSAS,Virginia,Manassas city,3.0
WASHINGTON COUNTY MEMORIAL HOSPITAL,POTOSI,Missouri,Washington,2.0
UPMC EAST,MONROEVILLE,Pennsylvania,Allegheny,4.0
ENGLEWOOD HOSPITAL AND MEDICAL CENTER,ENGLEWOOD,New Jersey,Bergen,2.0
TEXAS HEALTH HEART & VASCULAR HOSPITAL ARLINGTON,ARLINGTON,Texas,Tarrant,5.0
ADVENTHEALTH SHAWNEE MISSION,SHAWNEE MISSION,Kansas,Johnson,5.0
"DOCTORS' CENTER HOSPITAL, INC",MANATI,Puerto Rico,Manati,1.0
T J SAMSON COMMUNITY HOSPITAL,GLASGOW,Kentucky,Barren,2.0
KAISER FOUNDATION HOSPITAL - ZION,SAN DIEGO,California,San diego,4.0
NOCONA GENERAL HOSPITAL,NOCONA,Texas,Montague,3.0
LAUREL REGIONAL MEDICAL CENTER,LAUREL,Maryland,Prince georges,1.0
MONTEFIORE MOUNT VERNON HOSPITAL,MOUNT VERNON,New York,Westchester,2.0
BACON COUNTY HOSPITAL,ALMA,Georgia,Bacon,3.0
CLAIBORNE MEMORIAL MEDICAL CENTER,HOMER,Louisiana,Claiborne,4.0
DANBURY HOSPITAL,DANBURY,Connecticut,Fairfield,2.0
BRONSON SOUTH HAVEN HOSPITAL,SOUTH HAVEN,Michigan,Van buren,3.0
CENTURA HEALTH-ST ANTHONY NORTH HEALTH CAMPUS,WESTMINSTER,Colorado,Broomfield,4.0
GRAND ITASCA CLINIC AND HOSPITAL,GRAND RAPIDS,Minnesota,Itasca,4.0
WAYNE MEMORIAL HOSPITAL,GOLDSBORO,North Carolina,Wayne,2.0
PHELPS MEMORIAL HEALTH CENTER,HOLDREGE,Nebraska,Phelps,5.0
GALESBURG COTTAGE HOSPITAL,GALESBURG,Illinois,Knox,2.0
SEBASTICOOK VALLEY HEALTH,PITTSFIELD,Maine,Somerset,3.0
ROLLINS BROOK COMMUNITY HOSPITAL,LAMPASAS,Texas,Lampasas,3.0
ALOMERE HEALTH,ALEXANDRIA,Minnesota,Douglas,4.0
AURORA MEDICAL CENTER KENOSHA,KENOSHA,Wisconsin,Kenosha,5.0
SPRING VIEW HOSPITAL,LEBANON,Kentucky,Marion,4.0
FITZGIBBON MEMORIAL HOSPITAL,MARSHALL,Missouri,Saline,3.0
KAISER FOUNDATION HOSPITAL - SOUTH BAY,HARBOR CITY,California,Los angeles,4.0
SYCAMORE SHOALS HOSPITAL,ELIZABETHTON,Tennessee,Carter,2.0
JOHN RANDOLPH MEDICAL CENTER,HOPEWELL,Virginia,Hopewell city,2.0
VAL VERDE REGIONAL MEDICAL CENTER,DEL RIO,Texas,Val verde,2.0
NANTICOKE MEMORIAL HOSPITAL,SEAFORD,Delaware,Sussex,4.0
MERCY HOSPITAL AND MEDICAL CENTER,CHICAGO,Illinois,Cook,1.0
HILLCREST MEDICAL CENTER,TULSA,Oklahoma,Tulsa,1.0
BAYLOR SCOTT AND WHITE MEDICAL CENTER CARROLLTON,CARROLLTON,Texas,Denton,3.0
AMERY HOSPITAL & CLINIC,AMERY,Wisconsin,Polk,4.0
JOHNS HOPKINS BAYVIEW MEDICAL CENTER,BALTIMORE,Maryland,Baltimore city,3.0
ALTON MEMORIAL HOSPITAL,ALTON,Illinois,Madison,2.0
SAINT JOSEPH HOSPITAL,DENVER,Colorado,Denver,4.0
UNIVERSITY OF LOUISVILLE HOSPITAL,LOUISVILLE,Kentucky,Jefferson,1.0
ST CHARLES HOSPITAL,PORT JEFFERSON,New York,Suffolk,3.0
BATON ROUGE GENERAL MEDICAL CENTER,BATON ROUGE,Louisiana,E. baton rouge,3.0
LEGACY EMANUEL MEDICAL CENTER,PORTLAND,Oregon,Multnomah,3.0
SANFORD BEMIDJI MEDICAL CENTER,BEMIDJI,Minnesota,Beltrami,2.0
NOVANT HEALTH HUNTERSVILLE MEDICAL CENTER,HUNTERSVILLE,North Carolina,Mecklenburg,4.0
KANSAS MEDICAL CENTER LLC,ANDOVER,Kansas,Butler,3.0
MEMORIAL HOSPITAL,BELLEVILLE,Illinois,St. clair,2.0
ROOSEVELT GENERAL HOSPITAL,PORTALES,New Mexico,Roosevelt,3.0
SAINT THOMAS RUTHERFORD HOSPITAL,MURFREESBORO,Tennessee,Rutherford,2.0
BAPTIST MEDICAL CENTER - NASSAU,FERNANDINA BEACH,Florida,Nassau,5.0
COSHOCTON REGIONAL MEDICAL CENTER,COSHOCTON,Ohio,Coshocton,3.0
NESHOBA COUNTY GENERAL HOSPITAL,PHILADELPHIA,Mississippi,Neshoba,2.0
AVERA ST ANTHONY'S HOSPITAL,O' NEILL,Nebraska,Holt,3.0
FORT WALTON BEACH MEDICAL CENTER,FORT WALTON BEACH,Florida,Okaloosa,2.0
STEPHENS COUNTY HOSPITAL,TOCCOA,Georgia,Stephens,3.0
CENTRAL MONTANA MEDICAL CENTER,LEWISTOWN,Montana,Fergus,3.0
ST JOHNS REGIONAL MEDICAL CENTER,OXNARD,California,Ventura,4.0
POMERENE HOSPITAL,MILLERSBURG,Ohio,Holmes,5.0
EAST LOS ANGELES DOCTORS HOSPITAL,LOS ANGELES,California,Los angeles,2.0
DELNOR COMMUNITY HOSPITAL,GENEVA,Illinois,Kane,5.0
NORTHWEST MEDICAL CENTER,TUCSON,Arizona,Pima,2.0
MULTICARE VALLEY HOSPITAL,SPOKANE,Washington,Spokane,3.0
COLUMBUS REGIONAL HOSPITAL,COLUMBUS,Indiana,Bartholomew,3.0
PORTNEUF MEDICAL CENTER,POCATELLO,Idaho,Bannock,5.0
LARKIN COMMUNITY HOSPITAL,SOUTH MIAMI,Florida,Miami-dade,2.0
STILLWATER MEDICAL CENTER,STILLWATER,Oklahoma,Payne,4.0
ST CROIX REGIONAL MEDICAL CTR,SAINT CROIX FALLS,Wisconsin,Polk,4.0
CRITTENTON HOSPITAL MEDICAL CENTER,ROCHESTER,Michigan,Oakland,3.0
ST CATHERINE HOSPITAL INC,EAST CHICAGO,Indiana,Lake,5.0
SUNY/STONY BROOK UNIVERSITY HOSPITAL,STONY BROOK,New York,Suffolk,4.0
BAPTIST MEMORIAL HOSPITAL NORTH MS,OXFORD,Mississippi,Lafayette,4.0
SKAGIT VALLEY HOSPITAL,MOUNT VERNON,Washington,Skagit,2.0
